epsilon,k,sigma,effect_size,N,exponent,Power
1,7,0.1,1,3934,0.75,0.9602
1,7,0.1,1,70,1,0.0592
1,7,0.1,1,175,1,0.0812
1,7,0.1,1,350,1,0.15
1,7,0.1,1,700,1,0.46
1,7,0.1,1,931,1,0.7132
1,7,0.1,1,1246,1,0.9062
1,7,0.1,1,1659,1,0.9774
1,7,0.1,1,2212,1,0.9962
1,7,0.1,1,2954,1,1
1,7,0.1,1,3934,1,1
1,7,0.1,1,70,1.5,0.0566
1,7,0.1,1,175,1.5,0.0516
1,7,0.1,1,350,1.5,0.0574
1,7,0.1,1,700,1.5,0.0734
1,7,0.1,1,931,1.5,0.1026
1,7,0.1,1,1246,1.5,0.1378
1,7,0.1,1,1659,1.5,0.188
1,7,0.1,1,2212,1.5,0.2884
1,7,0.1,1,2954,1.5,0.5276
1,7,0.1,1,3934,1.5,0.814
1,7,0.1,1,70,2,0.0472
1,7,0.1,1,175,2,0.0552
1,7,0.1,1,350,2,0.0498
1,7,0.1,1,700,2,0.052
1,7,0.1,1,931,2,0.0502
1,7,0.1,1,1246,2,0.054
1,7,0.1,1,1659,2,0.0534
1,7,0.1,1,2212,2,0.071
1,7,0.1,1,2954,2,0.0662
1,7,0.1,1,3934,2,0.1174
1,7,0.25,0.5,70,0.75,0.064
1,7,0.25,0.5,175,0.75,0.057
1,7,0.25,0.5,350,0.75,0.0924
1,7,0.25,0.5,700,0.75,0.1788
1,7,0.25,0.5,931,0.75,0.2212
1,7,0.25,0.5,1246,0.75,0.3482
1,7,0.25,0.5,1659,0.75,0.5666
1,7,0.25,0.5,2212,0.75,0.7478
1,7,0.25,0.5,2954,0.75,0.8976
1,7,0.25,0.5,3934,0.75,0.961
1,7,0.25,0.5,70,1,0.0528
1,7,0.25,0.5,175,1,0.0878
1,7,0.25,0.5,350,1,0.1632
1,7,0.25,0.5,700,1,0.538
1,7,0.25,0.5,931,1,0.7514
1,7,0.25,0.5,1246,1,0.9308
1,7,0.25,0.5,1659,1,0.9856
1,7,0.25,0.5,2212,1,0.9972
1,7,0.25,0.5,2954,1,1
1,7,0.25,0.5,3934,1,1
1,7,0.25,0.5,70,1.5,0.0466
1,7,0.25,0.5,175,1.5,0.055
1,7,0.25,0.5,350,1.5,0.0644
1,7,0.25,0.5,700,1.5,0.1108
1,7,0.25,0.5,931,1.5,0.1394
1,7,0.25,0.5,1246,1.5,0.1776
1,7,0.25,0.5,1659,1.5,0.2768
1,7,0.25,0.5,2212,1.5,0.4842
1,7,0.25,0.5,2954,1.5,0.73740000000000006
1,7,0.25,0.5,3934,1.5,0.9124
1,7,0.25,0.5,70,2,0.0424
1,7,0.25,0.5,175,2,0.0466
1,7,0.25,0.5,350,2,0.0536
1,7,0.25,0.5,700,2,0.0666
1,7,0.25,0.5,931,2,0.0622
1,7,0.25,0.5,1246,2,0.0642
1,7,0.25,0.5,1659,2,0.081
1,7,0.25,0.5,2212,2,0.0996
1,7,0.25,0.5,2954,2,0.1218
1,7,0.25,0.5,3934,2,0.1454
1,7,0.25,1,70,0.75,0.0598
1,7,0.25,1,175,0.75,0.0828
1,7,0.25,1,350,0.75,0.1524
1,7,0.25,1,700,0.75,0.4124
1,7,0.25,1,931,0.75,0.6476
1,7,0.25,1,1246,0.75,0.8186
1,7,0.25,1,1659,0.75,0.9334
1,7,0.25,1,2212,0.75,0.9816
1,7,0.25,1,2954,0.75,0.9944
1,7,0.25,1,3934,0.75,0.9984
1,7,0.25,1,70,1,0.0726
1,7,0.25,1,175,1,0.1804
1,7,0.25,1,350,1,0.5866
1,7,0.25,1,700,1,0.9702
1,7,0.25,1,931,1,0.9948
1,7,0.25,1,1246,1,0.9996
1,7,0.25,1,1659,1,1
1,7,0.25,1,2212,1,1
1,7,0.25,1,2954,1,1
1,7,0.25,1,3934,1,1
1,7,0.25,1,70,1.5,0.0568
1,7,0.25,1,175,1.5,0.074
1,7,0.25,1,350,1.5,0.147
1,7,0.25,1,700,1.5,0.3892
1,7,0.25,1,931,1.5,0.6208
1,7,0.25,1,1246,1.5,0.8646
1,7,0.25,1,1659,1.5,0.9546
1,7,0.25,1,2212,1.5,0.9896
1,7,0.25,1,2954,1.5,0.9994
1,7,0.25,1,3934,1.5,1
1,7,0.25,1,70,2,0.0402
1,7,0.25,1,175,2,0.0562
1,7,0.25,1,350,2,0.0684
1,7,0.25,1,700,2,0.1102
1,7,0.25,1,931,2,0.165
1,7,0.25,1,1246,2,0.2126
1,7,0.25,1,1659,2,0.3672
1,7,0.25,1,2212,2,0.5502
1,7,0.25,1,2954,2,0.8144
1,7,0.25,1,3934,2,0.9286
