epsilon,k,sigma,effect_size,N,exponent,Power,rho
1,7,0.1,0.5,175,1.5,0.0482,0.7
1,7,0.1,0.5,350,1.5,0.0506,0.7
1,7,0.1,0.5,700,1.5,0.0512,0.7
1,7,0.1,0.5,931,1.5,0.0684,0.7
1,7,0.1,0.5,1246,1.5,0.0752,0.7
1,7,0.1,0.5,1659,1.5,0.0844,0.7
1,7,0.1,0.5,2212,1.5,0.1152,0.7
1,7,0.1,0.5,2954,1.5,0.1912,0.7
1,7,0.1,0.5,3934,1.5,0.2392,0.7
1,7,0.1,0.5,70,2,0.042,0.7
1,7,0.1,0.5,175,2,0.0526,0.7
1,7,0.1,0.5,350,2,0.048,0.7
1,7,0.1,0.5,700,2,0.0512,0.7
1,7,0.1,0.5,931,2,0.049,0.7
1,7,0.1,0.5,1246,2,0.0446,0.7
1,7,0.1,0.5,1659,2,0.0492,0.7
1,7,0.1,0.5,2212,2,0.057,0.7
1,7,0.1,0.5,2954,2,0.0542,0.7
1,7,0.1,0.5,3934,2,0.058,0.7
1,7,0.1,1,70,0.75,0.0506,0.7
1,7,0.1,1,175,0.75,0.0618,0.7
1,7,0.1,1,350,0.75,0.0998,0.7
1,7,0.1,1,700,0.75,0.2004,0.7
1,7,0.1,1,931,0.75,0.2744,0.7
1,7,0.1,1,1246,0.75,0.4522,0.7
1,7,0.1,1,1659,0.75,0.6358,0.7
1,7,0.1,1,2212,0.75,0.8698,0.7
1,7,0.1,1,2954,0.75,0.9624,0.7
1,7,0.1,1,3934,0.75,0.9918,0.7
1,7,0.1,1,70,1,0.0486,0.7
1,7,0.1,1,175,1,0.0768,0.7
1,7,0.1,1,350,1,0.1624,0.7
1,7,0.1,1,700,1,0.6112,0.7
1,7,0.1,1,931,1,0.8842,0.7
1,7,0.1,1,1246,1,0.9774,0.7
1,7,0.1,1,1659,1,0.9976,0.7
1,7,0.1,1,2212,1,0.9996,0.7
1,7,0.1,1,2954,1,1,0.7
1,7,0.1,1,3934,1,1,0.7
1,7,0.1,1,70,1.5,0.0544,0.7
1,7,0.1,1,175,1.5,0.0536,0.7
1,7,0.1,1,350,1.5,0.058,0.7
1,7,0.1,1,700,1.5,0.0702,0.7
1,7,0.1,1,931,1.5,0.0952,0.7
1,7,0.1,1,1246,1.5,0.1346,0.7
1,7,0.1,1,1659,1.5,0.2608,0.7
1,7,0.1,1,2212,1.5,0.4666,0.7
1,7,0.1,1,2954,1.5,0.7588,0.7
1,7,0.1,1,3934,1.5,0.9268,0.7
1,7,0.1,1,70,2,0.05,0.7
1,7,0.1,1,175,2,0.0502,0.7
1,7,0.1,1,350,2,0.046,0.7
1,7,0.1,1,700,2,0.064,0.7
1,7,0.1,1,931,2,0.0584,0.7
1,7,0.1,1,1246,2,0.05,0.7
1,7,0.1,1,1659,2,0.0572,0.7
1,7,0.1,1,2212,2,0.0738,0.7
1,7,0.1,1,2954,2,0.0898,0.7
1,7,0.1,1,3934,2,0.133,0.7
1,7,0.25,0.5,70,0.75,0.0484,0.7
1,7,0.25,0.5,175,0.75,0.0716,0.7
1,7,0.25,0.5,350,0.75,0.0948,0.7
1,7,0.25,0.5,700,0.75,0.2244,0.7
1,7,0.25,0.5,931,0.75,0.3712,0.7
1,7,0.25,0.5,1246,0.75,0.542,0.7
1,7,0.25,0.5,1659,0.75,0.7632,0.7
1,7,0.25,0.5,2212,0.75,0.9026,0.7
1,7,0.25,0.5,2954,0.75,0.9696,0.7
1,7,0.25,0.5,3934,0.75,0.9936,0.7
1,7,0.25,0.5,70,1,0.055,0.7
1,7,0.25,0.5,175,1,0.0842,0.7
1,7,0.25,0.5,350,1,0.2188,0.7
1,7,0.25,0.5,700,1,0.7158,0.7
1,7,0.25,0.5,931,1,0.9006,0.7
1,7,0.25,0.5,1246,1,0.9754,0.7
1,7,0.25,0.5,1659,1,0.9976,0.7
1,7,0.25,0.5,2212,1,0.9998,0.7
1,7,0.25,0.5,2954,1,1,0.7
1,7,0.25,0.5,3934,1,1,0.7
1,7,0.25,0.5,70,1.5,0.0554,0.7
1,7,0.25,0.5,175,1.5,0.0602,0.7
1,7,0.25,0.5,350,1.5,0.0906,0.7
1,7,0.25,0.5,700,1.5,0.12,0.7
1,7,0.25,0.5,931,1.5,0.202,0.7
1,7,0.25,0.5,1246,1.5,0.2842,0.7
1,7,0.25,0.5,1659,1.5,0.537,0.7
1,7,0.25,0.5,2212,1.5,0.7736,0.7
1,7,0.25,0.5,2954,1.5,0.9324,0.7
1,7,0.25,0.5,3934,1.5,0.978,0.7
1,7,0.25,0.5,70,2,0.0482,0.7
1,7,0.25,0.5,175,2,0.0456,0.7
1,7,0.25,0.5,350,2,0.0506,0.7
1,7,0.25,0.5,700,2,0.0614,0.7
1,7,0.25,0.5,931,2,0.0686,0.7
1,7,0.25,0.5,1246,2,0.085,0.7
1,7,0.25,0.5,1659,2,0.0974,0.7
1,7,0.25,0.5,2212,2,0.121,0.7
1,7,0.25,0.5,2954,2,0.1688,0.7
1,7,0.25,0.5,3934,2,0.2308,0.7
1,7,0.25,1,70,0.75,0.0582,0.7
1,7,0.25,1,175,0.75,0.0906,0.7
1,7,0.25,1,350,0.75,0.1644,0.7
1,7,0.25,1,700,0.75,0.5636,0.7
1,7,0.25,1,931,0.75,0.786,0.7
1,7,0.25,1,1246,0.75,0.9394,0.7
1,7,0.25,1,1659,0.75,0.9772,0.7
1,7,0.25,1,2212,0.75,0.9972,0.7
1,7,0.25,1,2954,0.75,0.9998,0.7
1,7,0.25,1,3934,0.75,1,0.7
1,7,0.25,1,70,1,0.067,0.7
1,7,0.25,1,175,1,0.1748,0.7
1,7,0.25,1,350,1,0.7174,0.7
1,7,0.25,1,700,1,0.9932,0.7
1,7,0.25,1,931,1,0.9994,0.7
1,7,0.25,1,1246,1,1,0.7
1,7,0.25,1,1659,1,1,0.7
1,7,0.25,1,2212,1,1,0.7
1,7,0.25,1,2954,1,1,0.7
1,7,0.25,1,3934,1,1,0.7
1,7,0.25,1,70,1.5,0.0688,0.7
1,7,0.25,1,175,1.5,0.0726,0.7
1,7,0.25,1,350,1.5,0.1516,0.7
1,7,0.25,1,700,1.5,0.5544,0.7
1,7,0.25,1,931,1.5,0.8244,0.7
1,7,0.25,1,1246,1.5,0.9574,0.7
1,7,0.25,1,1659,1.5,0.994,0.7
1,7,0.25,1,2212,1.5,0.9996,0.7
1,7,0.25,1,2954,1.5,1,0.7
1,7,0.25,1,3934,1.5,1,0.7
1,7,0.25,1,70,2,0.0502,0.7
1,7,0.25,1,175,2,0.059,0.7
1,7,0.25,1,350,2,0.0728,0.7
1,7,0.25,1,700,2,0.1198,0.7
1,7,0.25,1,931,2,0.2124,0.7
1,7,0.25,1,1246,2,0.2808,0.7
1,7,0.25,1,1659,2,0.5548,0.7
1,7,0.25,1,2212,2,0.8054,0.7
1,7,0.25,1,2954,2,0.9354,0.7
1,7,0.25,1,3934,2,0.9826,0.7
